#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 21 00 00  MM  9.0 11.0    MM    MM    MM  MM 1023.4    MM   7.1    MM   MM   MM    MM
2022 01 20 23 50  MM  9.0 12.0   1.2     8   4.1 174 1023.3    MM   7.1    MM   MM   MM    MM
2022 01 20 23 40  MM  9.0 12.0   1.2    MM   4.1 174 1023.1    MM   7.1    MM   MM   MM    MM
2022 01 20 23 30  MM  9.0 12.0    MM    MM    MM  MM 1023.2    MM   7.1    MM   MM   MM    MM
2022 01 20 23 20  MM  9.0 11.0    MM    MM    MM  MM 1023.0    MM   7.1    MM   MM   MM    MM
2022 01 20 23 10  MM  9.0 11.0    MM    MM    MM  MM 1022.9    MM   7.1    MM   MM   MM    MM
2022 01 20 23 00  MM  8.0 11.0    MM    MM    MM  MM 1022.6    MM   7.1    MM   MM   MM    MM
2022 01 20 22 50  MM  9.0 12.0   1.2     4   4.1   5 1022.4    MM   7.1    MM   MM   MM    MM
2022 01 20 22 40  MM  9.0 11.0   1.2    MM   4.1   5 1022.3    MM   7.1    MM   MM   MM    MM
2022 01 20 22 30  MM  9.0 11.0    MM    MM    MM  MM 1022.1    MM   7.0    MM   MM   MM    MM
2022 01 20 22 20  MM  9.0 11.0    MM    MM    MM  MM 1021.9    MM   7.0    MM   MM   MM    MM
2022 01 20 22 10  MM  9.0 11.0    MM    MM    MM  MM 1021.7    MM   7.0    MM   MM   MM    MM
2022 01 20 22 00  MM  9.0 11.0    MM    MM    MM  MM 1021.6    MM   7.0    MM   MM   MM    MM
2022 01 20 21 50  MM  9.0 11.0   1.2     8   4.2 182 1021.3    MM   7.0    MM   MM   MM    MM
2022 01 20 21 40  MM  9.0 11.0   1.2    MM   4.2 182 1021.0    MM   7.0    MM   MM   MM    MM
2022 01 20 21 30  MM  8.0 10.0    MM    MM    MM  MM 1021.0    MM   7.0    MM   MM   MM    MM
2022 01 20 21 20  MM  9.0 11.0    MM    MM    MM  MM 1020.9    MM   7.0    MM   MM   MM    MM
2022 01 20 21 10  MM  8.0 11.0    MM    MM    MM  MM 1020.9    MM   7.0    MM   MM   MM    MM
2022 01 20 21 00  MM  9.0 11.0    MM    MM    MM  MM 1020.7    MM   7.0    MM   MM   MM    MM
2022 01 20 20 50  MM  9.0 12.0   1.2     8   4.3 190 1020.7    MM   7.0    MM   MM   MM    MM
2022 01 20 20 40  MM  8.0 10.0   1.2    MM   4.3 190 1020.6    MM   7.0    MM   MM   MM    MM
2022 01 20 20 30  MM  8.0 11.0    MM    MM    MM  MM 1020.4    MM   7.0    MM   MM   MM    MM
2022 01 20 20 20  MM  9.0 11.0    MM    MM    MM  MM 1020.4    MM   7.0    MM   MM   MM    MM
2022 01 20 20 10  MM  9.0 11.0    MM    MM    MM  MM 1020.2    MM   7.0    MM   MM   MM    MM
2022 01 20 20 00  MM  9.0 11.0    MM    MM    MM  MM 1020.1    MM   7.0    MM   MM +1.2    MM
2022 01 20 19 50  MM  9.0 12.0   1.2     8   4.4 168 1019.9    MM   7.0    MM   MM   MM    MM
2022 01 20 19 40  MM  9.0 11.0   1.2    MM   4.4 168 1019.8    MM   7.0    MM   MM   MM    MM
2022 01 20 19 30  MM  8.0 10.0    MM    MM    MM  MM 1019.7    MM   7.0    MM   MM   MM    MM
2022 01 20 19 20  MM  8.0 10.0    MM    MM    MM  MM 1019.5    MM   7.0    MM   MM   MM    MM
2022 01 20 19 10  MM  8.0 10.0    MM    MM    MM  MM 1019.3    MM   7.0    MM   MM   MM    MM
2022 01 20 19 00  MM  8.0 10.0    MM    MM    MM  MM 1019.6    MM   7.0    MM   MM -0.0    MM
2022 01 20 18 50  MM  8.0 11.0   1.2     4   4.1 352 1019.6    MM   7.0    MM   MM   MM    MM
2022 01 20 18 40  MM  9.0 11.0   1.2    MM   4.1 352 1019.6    MM   7.0    MM   MM   MM    MM
2022 01 20 18 30  MM  7.0 10.0    MM    MM    MM  MM 1019.4    MM   7.0    MM   MM   MM    MM
2022 01 20 18 20  MM  7.0  9.0    MM    MM    MM  MM 1019.4    MM   7.0    MM   MM   MM    MM
2022 01 20 18 10  MM  8.0  9.0    MM    MM    MM  MM 1019.6    MM   7.0    MM   MM   MM    MM
2022 01 20 18 00  MM  8.0 10.0    MM    MM    MM  MM 1019.2    MM   7.1    MM   MM   MM    MM
2022 01 20 17 50  MM  8.0 10.0   1.4     8   4.6 183 1019.3    MM   7.1    MM   MM   MM    MM
2022 01 20 17 40  MM  8.0 11.0    MM    MM    MM  MM 1019.1    MM   7.1    MM   MM   MM    MM
2022 01 20 17 30  MM  8.0 10.0    MM    MM    MM  MM 1019.3    MM   7.1    MM   MM   MM    MM
2022 01 20 17 20  MM  9.0 11.0    MM    MM    MM  MM 1019.0    MM   7.1    MM   MM   MM    MM
2022 01 20 17 10  MM  9.0 12.0    MM    MM    MM  MM 1018.9    MM   7.1    MM   MM   MM    MM
2022 01 20 17 00  MM  9.0 11.0    MM    MM    MM  MM 1018.9    MM   7.2    MM   MM   MM    MM
2022 01 20 16 50  MM  9.0 11.0   1.4     8   4.4 182 1019.0    MM   7.2    MM   MM   MM    MM
2022 01 20 16 40  MM  9.0 12.0   1.4    MM   4.4 182 1018.8    MM   7.2    MM   MM   MM    MM
2022 01 20 16 30  MM  9.0 12.0    MM    MM    MM  MM 1018.9    MM   7.2    MM   MM   MM    MM
2022 01 20 16 20  MM 10.0 12.0    MM    MM    MM  MM 1019.0    MM   7.2    MM   MM   MM    MM
2022 01 20 16 10  MM 10.0 12.0    MM    MM    MM  MM 1019.3    MM   7.2    MM   MM   MM    MM
2022 01 20 16 00  MM 10.0 12.0    MM    MM    MM  MM 1019.4    MM   7.2    MM   MM +2.8    MM
2022 01 20 15 50  MM 10.0 12.0   1.4     8   4.7 178 1019.3    MM   7.2    MM   MM   MM    MM
2022 01 20 15 40  MM 10.0 12.0   1.4    MM   4.7 178 1019.1    MM   7.3    MM   MM   MM    MM
2022 01 20 15 30  MM 10.0 13.0    MM    MM    MM  MM 1019.1    MM   7.3    MM   MM   MM    MM
2022 01 20 15 20  MM  8.0 11.0    MM    MM    MM  MM 1019.1    MM   7.3    MM   MM   MM    MM
2022 01 20 15 10  MM  8.0 11.0    MM    MM    MM  MM 1019.1    MM   7.3    MM   MM   MM    MM
2022 01 20 15 00  MM  8.0 10.0    MM    MM    MM  MM 1018.8    MM   7.3    MM   MM +3.0    MM
2022 01 20 14 50  MM  8.0  9.0   1.5     8   5.0 188 1018.6    MM   7.4    MM   MM   MM    MM
2022 01 20 14 40  MM  8.0 10.0   1.5    MM   5.0 188 1018.6    MM   7.4    MM   MM   MM    MM
2022 01 20 14 30  MM  8.0 10.0    MM    MM    MM  MM 1018.4    MM   7.4    MM   MM   MM    MM
2022 01 20 14 20  MM  7.0  9.0    MM    MM    MM  MM 1018.2    MM   7.4    MM   MM   MM    MM
2022 01 20 14 10  MM  7.0 10.0    MM    MM    MM  MM 1018.1    MM   7.4    MM   MM   MM    MM
2022 01 20 14 00  MM  8.0 10.0    MM    MM    MM  MM 1017.5    MM   7.4    MM   MM +1.9    MM
2022 01 20 13 50  MM  8.0 10.0   1.6     8   5.1 185 1017.7    MM   7.4    MM   MM   MM    MM
2022 01 20 13 40  MM  8.0  9.0   1.6    MM   5.1 185 1017.5    MM   7.4    MM   MM   MM    MM
2022 01 20 13 30  MM  7.0  9.0    MM    MM    MM  MM 1017.4    MM   7.4    MM   MM   MM    MM
2022 01 20 13 20  MM  7.0  8.0    MM    MM    MM  MM 1017.2    MM   7.4    MM   MM   MM    MM
2022 01 20 13 10  MM  7.0  8.0    MM    MM    MM  MM 1017.0    MM   7.4    MM   MM   MM    MM
2022 01 20 13 00  MM  6.0  8.0    MM    MM    MM  MM 1016.6    MM   7.4    MM   MM   MM    MM
2022 01 20 12 50  MM  6.0  8.0   1.8     8   5.3 181 1016.5    MM   7.4    MM   MM   MM    MM
2022 01 20 12 40  MM  6.0  7.0   1.8    MM   5.3 181 1016.2    MM   7.5    MM   MM   MM    MM
2022 01 20 12 30  MM  6.0  7.0    MM    MM    MM  MM 1016.1    MM   7.4    MM   MM   MM    MM
2022 01 20 12 20  MM  6.0  8.0    MM    MM    MM  MM 1016.4    MM   7.5    MM   MM   MM    MM
2022 01 20 12 10  MM  6.0  8.0    MM    MM    MM  MM 1016.0    MM   7.4    MM   MM   MM    MM
2022 01 20 12 00  MM  6.0  8.0    MM    MM    MM  MM 1015.8    MM   7.5    MM   MM   MM    MM
2022 01 20 11 50  MM  7.0  8.0   1.8     8   5.2 182 1016.2    MM   7.5    MM   MM   MM    MM
2022 01 20 11 40  MM  7.0  9.0   1.8    MM   5.2 182 1016.3    MM   7.5    MM   MM   MM    MM
2022 01 20 11 30  MM  8.0  9.0    MM    MM    MM  MM 1016.2    MM   7.5    MM   MM   MM    MM
2022 01 20 11 20  MM  7.0  9.0    MM    MM    MM  MM 1015.9    MM   7.5    MM   MM   MM    MM
2022 01 20 11 10  MM  7.0  9.0    MM    MM    MM  MM 1015.8    MM   7.5    MM   MM   MM    MM
2022 01 20 11 00  MM  8.0 10.0    MM    MM    MM  MM 1015.6    MM   7.5    MM   MM +0.5    MM
2022 01 20 10 50  MM  8.0 11.0   2.0     7   5.5 186 1015.6    MM   7.5    MM   MM   MM    MM
2022 01 20 10 40  MM  9.0 11.0    MM    MM    MM  MM 1015.5    MM   7.5    MM   MM   MM    MM
2022 01 20 10 30  MM  7.0 11.0    MM    MM    MM  MM 1015.2    MM   7.5    MM   MM   MM    MM
2022 01 20 10 20  MM  7.0  9.0    MM    MM    MM  MM 1015.0    MM   7.5    MM   MM   MM    MM
2022 01 20 10 10  MM  8.0 11.0    MM    MM    MM  MM 1014.9    MM   7.5    MM   MM   MM    MM
2022 01 20 10 00  MM  6.0  9.0    MM    MM    MM  MM 1014.6    MM   7.5    MM   MM +0.0    MM
2022 01 20 09 50  MM  6.0  7.0   2.1     8   5.5 191 1014.6    MM   7.5    MM   MM   MM    MM
2022 01 20 09 40  MM  6.0  8.0    MM    MM    MM  MM 1014.7    MM   7.5    MM   MM   MM    MM
2022 01 20 09 30  MM  6.0  8.0    MM    MM    MM  MM 1014.7    MM   7.5    MM   MM   MM    MM
